fiber_id,customer_id,connection_type,plan_id,installation_date,speed_mbps,data_limit_gb,router_model,status
1,140,Business,11,2022-11-17,300,1000,JioFiber Router Giga,Active
2,93,Business,11,2022-11-30,300,1000,JioFiber Router Giga,Active
3,192,Business,9,2022-09-27,100,500,JioFiber Router AC1200,Inactive
4,136,Business,10,2019-04-20,150,500,JioFiber Router AX5,Active
5,56,Home,9,2017-12-28,100,750,JioFiber Router Giga,Active
6,143,Business,11,2022-11-03,300,500,JioFiber Router AC1200,Inactive
7,301,Business,11,2024-06-11,300,750,JioFiber Router Giga,Inactive
8,27,Home,10,2023-01-27,150,500,JioFiber Router Giga,Active
9,324,Business,9,2019-05-19,100,1000,JioFiber Router AC1200,Inactive
10,175,Home,11,2024-12-16,300,750,JioFiber Mesh X2,Active
11,68,Business,11,2023-06-06,300,750,JioFiber Router AX5,Active
12,111,Business,10,2024-02-04,150,750,JioFiber Router AX5,Active
13,61,Business,9,2022-07-23,100,750,JioFiber Router Giga,Active
14,7,Home,8,2024-10-05,30,1000,JioFiber Router Giga,Active
15,326,Home,10,2024-08-10,150,1000,JioFiber Router Giga,Active
16,68,Home,9,2024-07-29,100,500,JioFiber Router Giga,Active
17,61,Home,11,2019-08-21,300,3300,JioFiber Router AX5,Active
18,18,Business,8,2018-02-01,30,3300,JioFiber Mesh X2,Inactive
19,194,Home,10,2019-09-13,150,1000,JioFiber Router AC1200,Active
20,31,Home,10,2022-10-25,150,750,JioFiber Router Giga,Active
21,128,Home,10,2023-03-26,150,3300,JioFiber Router AC1200,Inactive
22,128,Business,9,2024-03-08,100,3300,JioFiber Router Giga,Active
23,324,Home,10,2023-05-28,150,1000,JioFiber Router AX5,Active
24,93,Business,11,2021-04-15,300,3300,JioFiber Router AC1200,Inactive
25,287,Business,11,2024-08-06,300,1000,JioFiber Router AX5,Active
26,192,Business,11,2024-08-12,300,1000,JioFiber Router Giga,Inactive
27,136,Home,10,2020-10-28,150,3300,JioFiber Mesh X2,Active
28,79,Home,10,2024-06-06,150,750,JioFiber Router AC1200,Active
29,139,Business,10,2024-07-13,150,3300,JioFiber Mesh X2,Active
30,192,Business,8,2024-10-08,30,750,JioFiber Router AC1200,Active
31,146,Home,9,2023-06-09,100,500,JioFiber Router AX5,Active
32,198,Business,8,2024-10-25,30,1000,JioFiber Mesh X2,Active
33,37,Business,10,2017-11-18,150,500,JioFiber Router Giga,Active
34,79,Home,8,2019-10-12,30,3300,JioFiber Router AX5,Active
35,94,Business,11,2023-10-21,300,750,JioFiber Router AX5,Active
36,337,Business,11,2024-08-25,300,500,JioFiber Router Giga,Active
37,153,Business,9,2024-10-08,100,500,JioFiber Mesh X2,Active
38,53,Home,10,2021-11-26,150,3300,JioFiber Router Giga,Inactive
39,205,Home,10,2024-05-07,150,3300,JioFiber Router AX5,Active
40,37,Home,9,2018-03-04,100,1000,JioFiber Mesh X2,Active
41,146,Business,8,2024-12-04,30,3300,JioFiber Router AX5,Active
42,203,Home,8,2023-11-28,30,750,JioFiber Mesh X2,Active
43,192,Home,8,2022-05-13,30,1000,JioFiber Router AC1200,Inactive
44,194,Home,9,2018-10-02,100,3300,JioFiber Router AX5,Active
45,252,Home,9,2021-05-06,100,3300,JioFiber Router Giga,Active
46,303,Home,11,2021-08-22,300,750,JioFiber Router AC1200,Active
47,269,Home,11,2021-11-30,300,3300,JioFiber Router AX5,Active
48,55,Home,10,2023-03-16,150,1000,JioFiber Router AX5,Active
49,326,Business,9,2018-03-16,100,500,JioFiber Router AC1200,Active
50,288,Business,11,2022-09-30,300,500,JioFiber Router AC1200,Active
51,146,Home,9,2023-07-06,100,3300,JioFiber Mesh X2,Active
52,272,Home,8,2018-12-19,30,3300,JioFiber Router Giga,Active
53,7,Home,11,2024-02-09,300,750,JioFiber Router AX5,Inactive
54,18,Business,10,2023-01-06,150,500,JioFiber Router AX5,Active
55,348,Business,11,2023-11-08,300,750,JioFiber Mesh X2,Active
56,337,Business,10,2024-05-04,150,1000,JioFiber Router AC1200,Active
57,272,Business,11,2022-05-25,300,750,JioFiber Mesh X2,Inactive
58,140,Business,11,2024-08-29,300,750,JioFiber Router Giga,Active
59,324,Home,11,2017-09-28,300,1000,JioFiber Mesh X2,Active
60,337,Home,11,2024-09-18,300,3300,JioFiber Router Giga,Active
61,68,Business,9,2023-08-11,100,1000,JioFiber Router AX5,Active
62,326,Business,9,2019-08-19,100,500,JioFiber Router AC1200,Active
63,27,Business,9,2022-12-04,100,500,JioFiber Router AC1200,Active
64,51,Home,11,2023-09-26,300,1000,JioFiber Router Giga,Inactive
65,82,Business,10,2024-12-12,150,3300,JioFiber Router AX5,Inactive
66,261,Business,10,2018-07-02,150,1000,JioFiber Router Giga,Active
67,198,Business,11,2023-06-19,300,500,JioFiber Router AC1200,Active
68,288,Business,11,2023-08-23,300,3300,JioFiber Router AC1200,Active
